"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+9.82750000000E+008, +1.46748040065E-001, +0.00000000000E+000
+9.85500000000E+008, +1.47152430197E-001, +0.00000000000E+000
+9.88250000000E+008, +1.46278479663E-001, +0.00000000000E+000
+9.91000000000E+008, +1.48396130742E-001, +0.00000000000E+000
+9.93750000000E+008, +1.52402254768E-001, +0.00000000000E+000
+9.96500000000E+008, +1.54109360767E-001, +0.00000000000E+000
+9.99250000000E+008, +1.53396545238E-001, +0.00000000000E+000
+1.00200000000E+009, +1.54940240485E-001, +0.00000000000E+000
+1.00475000000E+009, +1.59069736405E-001, +0.00000000000E+000
+1.00750000000E+009, +1.61465277926E-001, +0.00000000000E+000
+1.01025000000E+009, +1.60303972684E-001, +0.00000000000E+000
+1.01300000000E+009, +1.59719678247E-001, +0.00000000000E+000
+1.01575000000E+009, +1.62447696292E-001, +0.00000000000E+000
+1.01850000000E+009, +1.65123196865E-001, +0.00000000000E+000
+1.02125000000E+009, +1.64474040407E-001, +0.00000000000E+000
+1.02400000000E+009, +1.62899514478E-001, +0.00000000000E+000
+1.02675000000E+009, +1.64619004241E-001, +0.00000000000E+000
+1.02950000000E+009, +1.67825979270E-001, +0.00000000000E+000
+1.03225000000E+009, +1.68082306138E-001, +0.00000000000E+000
+1.03500000000E+009, +1.65745091651E-001, +0.00000000000E+000
+1.03775000000E+009, +1.65735823010E-001, +0.00000000000E+000
+1.04050000000E+009, +1.69230625369E-001, +0.00000000000E+000
+1.04325000000E+009, +1.72033904048E-001, +0.00000000000E+000
+1.04600000000E+009, +1.71437562409E-001, +0.00000000000E+000
+1.04875000000E+009, +1.70708140140E-001, +0.00000000000E+000
+1.05150000000E+009, +1.72394265722E-001, +0.00000000000E+000
+1.05425000000E+009, +1.74429991591E-001, +0.00000000000E+000
+1.05700000000E+009, +1.74114377901E-001, +0.00000000000E+000
+1.05975000000E+009, +1.73383775546E-001, +0.00000000000E+000
+1.06250000000E+009, +1.74887373589E-001, +0.00000000000E+000
+1.06525000000E+009, +1.76894948139E-001, +0.00000000000E+000
+1.06800000000E+009, +1.76437745120E-001, +0.00000000000E+000
+1.07075000000E+009, +1.74760467727E-001, +0.00000000000E+000
+1.07350000000E+009, +1.75891337121E-001, +0.00000000000E+000
+1.07625000000E+009, +1.78931471610E-001, +0.00000000000E+000
+1.07900000000E+009, +1.79277164979E-001, +0.00000000000E+000
+1.08175000000E+009, +1.76646999781E-001, +0.00000000000E+000
+1.08450000000E+009, +1.76141891891E-001, +0.00000000000E+000
+1.08725000000E+009, +1.79787752321E-001, +0.00000000000E+000
+1.09000000000E+009, +1.83075372592E-001, +0.00000000000E+000
+1.09275000000E+009, +1.82043165397E-001, +0.00000000000E+000
+1.09550000000E+009, +1.79851002847E-001, +0.00000000000E+000
+1.09825000000E+009, +1.81049963658E-001, +0.00000000000E+000
