"Freq [GHz]","dB(S(SMA_connector_1_5mm_general1_1,SMA_connector_1_5mm_general1_1)) []"
3.33,-0.913717246494521
3.34,-0.914233148162509
3.35,-0.915527381450437
3.36,-0.917607233471829
3.37,-0.920484572771736
3.38,-0.924175974352456
3.39,-0.928702902311607
3.4,-0.934091953286792
3.41,-0.940375165141407
3.42,-0.947590396680111
3.43,-0.955781785690629
3.44,-0.965000294314811
3.45,-0.97530435270913
3.46,-0.986760614222774
3.47,-0.999444837972447
3.48,-1.01344291781192
3.49,-1.02885208038213
3.5,-1.04578227930886
3.51,-1.0643578178327
3.52,-1.0847192383902
3.53,-1.10702552512296
3.54,-1.13145667422724
3.55,-1.15821669776447
3.56,-1.18753713938578
3.57,-1.21968119578043
3.58,-1.25494855599629
3.59,-1.29368109259723
3.6,-1.33626956443231
3.61,-1.38316152106994
3.62,-1.43487063404726
3.63,-1.49198772003509
3.64,-1.55519376527094
3.65,-1.62527530751602
3.66,-1.70314257780079
3.67,-1.78985084254169
3.68,-1.88662540502671
3.69,-1.99489070257514
3.7,-2.11630383590659
3.71,-2.25279263020245
3.72,-2.40659785313702
3.73,-2.58031833879825
3.74,-2.7769562157116
3.75,-2.99995676261918
3.76,-3.25323287336431
3.77,-3.54115646957468
3.78,-3.86848642127404
3.79,-4.24018131192799
3.8,-4.66101057163283
3.81,-5.13482200529431
3.82,-5.66324105226119
3.83,-6.24347374370446
3.84,-6.86482275696702
3.85,-7.50372954642111
3.86,-8.11819365987155
3.87,-8.64511275512056
3.88,-9.00782893994743
3.89,-9.13999013243997
3.9,-9.0171790283569
3.91,-8.67066071610486
3.92,-8.16938088856597
3.93,-7.58818859411299
3.94,-6.98649803683226
3.95,-6.40286292139893
3.96,-5.85844539488694
3.97,-5.36259290822396
3.98,-4.91752725651773
3.99,-4.52155268628565
4,-4.17104292851688
4.01,-3.86159978034296
4.02,-3.58869555362247
4.03,-3.34800806108986
4.04,-3.13557779505464
4.05,-2.94786510983445
4.06,-2.7817532182966
4.07,-2.63452358926982
4.08,-2.50381892987697
4.09,-2.38760222145433
4.1,-2.28411634900599
4.11,-2.19184658759369
4.12,-2.10948691060505
4.13,-2.03591036384506
4.14,-1.97014336734261
4.15,-1.91134362148855
4.16,-1.85878122094523
4.17,-1.81182256843494
4.18,-1.76991670142836
4.19,-1.73258368072718
4.2,-1.69940473120695
4.21,-1.67001386622818
4.22,-1.64409076571754
4.23,-1.62135471245771
4.24,-1.60155942136012
4.25,-1.5844886225282
4.26,-1.56995228109803
4.27,-1.55778335558746
4.28,-1.54783501225417
4.29,-1.53997822617686
4.3,-1.53409971082946
4.31,-1.53010012715162
4.32,-1.5278925308305
4.33,-1.52740102294703
4.34,-1.52855957452009
4.35,-1.53131099997884
4.36,-1.53560605835732
4.37,-1.54140266415959
4.38,-1.54866519248958
4.39,-1.55736386526169
4.4,-1.56747420718047
4.41,-1.57897656175161
4.42,-1.59185565891777
4.43,-1.60610022703656
4.44,-1.62170264286944
4.45,-1.63865861405748
4.46,-1.65696688924571
4.47,-1.67662899160016
4.48,-1.69764897196015
4.49,-1.72003317829355
4.5,-1.74379003848664
